Empresa,Localidad,Num
ESESOL INGENIERÍA ENERGÉTICA S.C.ESESOL INGENIERíA ENERGÉTICA S.C. es una empresa dedicada y comprometida con las energias renovables,Badajoz,2
Expal Disposal & Recovert,Cáceres,1
EXPLOTACIONES FORESTALES MARLE S.L. (MARLE)Aprovechamiento forestal,Gévora,1
Falero & Laín IngenierosConsultoría y proyectos,Badajoz,13
FCC AQUALIA,Badajoz,2
FOMENTO DE ENERGÍAS RENOVABLES Y DESARROLLO MEDIOAMBIENTAL,Badajoz,1
FORGE ADOUR IBERICA,Villafranca de los Barros,6
Fundación Centro de Cirugía de Mínima Invasión Jesús Usón (CCMIJU),Cáceres,5
Fundación Centro Tecnológico Industrial de Extremadura (CETIEX)Innovación y proyectos de ingeniería,Badajoz,17
Fundación Laboral de la ConstrucciónFormación en diversos ámbitos para el sector de la construcción,Mérida,18
GEOCORK S.C.,Badajoz,1
Gesolpac,Badajoz,8
GESTIÓN DE AGUAS DE MÉRIDA UTEGesión del Agual,Mérida,1
GONZÁLEZ PROYECTOS TÉCNICOS,Badajoz,3
Gragera Industrial,Segura de León,7
GREEN FUEL EXTREMADURA S.A.,Los Santos de Maimona,2
GREENPRINTS LABS S.L.U. (GREENPRINTS )Fabricación industrial de filamentos poliméricos para impresión 3D mediante FFF. Desarrollo de nuevos materiales para fabricación 3D aditiva.,Badajoz,2
Grupo Alfonso Gallardo,Jerez de los Caballeros,15
GRUPO CRISTIAN LAY,,9
HIDRÁULICOS BADAJOZ S.L.Desarrollo de proyectos hidráulicos. Colaboración con empresas de maquinaria agrícola e industrial,Badajoz,2
IBERMÁTICA S.A. (IBERMÁTICA)Ibermática es una de las principales compañías de servicios en Tecnologís de la Información del mercado español. Creada en 1973,San Sebastián,2
IMPULSA DIRECCIÓN DE PROYECTOS S.L. (En trámite,Galaroza,7
INDUSTRIA DE TURBO PROPULSORES S.A.Diseño,Zamudio,12
Industrias Velasco Cabrera (VECA. Sistemas de Elevación)Puentes Grúa y PolipastosEstructuras metálicasCarroceríasCerrajeríasRetirada de materiales con amiantoProyectos técnicos y asesoramiento,Valdelacalzada,4
Industrias y Promociones Alimenticias,Miajadas,6
Ingeniería del Aire Comprimido Extremadura S.L. (AIRCOMPEX)Dimensionamiento,Badajoz,2
Ingeniería del Clima Santiago Andrada,Cáceres,3
INGENIERÍA E INTEGRACIONESDesarrollo y montaje de cuadros eléctricos.Apoyo a la realización de proyectos.Desarrollo de ingeniería.,Hinojosa del Duque,1
INGENIERÍA EMÉRITA S.L.INGENIERIA INDUSTRIALPROYECTOS Y DIRECCIÓN DE OBRASLICENCIAS DE OBRA Y APERTURACEDULAS DE HABITABILIDADIMPACTO AMBIENTALTASACIONESINFORMES PERICIALESTOPOGRAFIA Y DESLINDES,Mérida,1
Ingeniería Simancas,Don Benito,2
Ingeniería y Economía del Transporte S.M.E.M.P. (INECO) (En trámite,Madrid,1
INGESCO S.C.,Mérida,11
INQUIBA S.A.,,6
Instituto Tecnológico  de Rocas Ornamentales y Materiales de Construcción (INTROMAC)Apoyo y colaboración en las actividades propias del Área de Patrimonio. servicios tecnologicos,Cáceres,3
Inversolar Extremadura,Badajoz,14
INYGES CONSULTORES S.L.,Plasencia,1
ISOBER Ibérica,,1
ISOTROL S.A.Consultoría,Sevilla,1
J.G. Borrego Gabinete Pericial,Badajoz,10
J.P. ALCARAZ ELECTRÓNICA S.L. (J.P. ALCARAZ ELECTRÓNICA )Electrónica IndustrialElectrónica NavalElectromercancías,Cartagena,1
Jesús Márquez Avelli (Jesús Márquez Avelli)Proyectos de ingeniería,Zahinos,1
Juan Moreno García (JM PROYECTOS)Oficina técnica,Mérida,2
Luis Fernández ConejeroEstudio de ingeniería en el que se realizan proyectos de todo tipo de instalaciones,Badajoz,5
MANCOMUNIDAD INTEGRAL COMARCA DE OLIVENZAAsesoramiento y apoyo técnico en diversos aspectos:-Aspectos técnicos industriales reseñados en las solicitudes de implantación de actividades.- Ayudas en tareas de trabajos de campo,Olivenza,2
MANTENIMIENTO Y TRANSPORTADORES S.L. (MANTRA) (En trámite,Don Benito,1
MAREXTEL ENERGÍA S.L.Instalaciones eléctricas y de climatizaciónEficiencia energéticaAsesoramiento técnico energético,Cáceres,1
Marsan Ingenieros S.L. (Marsan Ingenieros) (En trámite,Paterna,1
MONLIZ ESPAÑA S.L.Producción de vegetales escaldados,Villafranco del Guadiana,7
Montajes IFITEC S.L.L. (Montajes IFITEC) (En trámite,Galaroza,1
NESTLE ESPAÑA,,5
Nextail Labs SL (Nextail)Nextail comercializa un software que ayuda a las empresas a mejorar su gestin de los inventarios,Madrid,2
Olives & Pickles,Galaroza,1
ONDUPACK,Segura de León,11
ONGAWA,Madrid,1
Pedro Calderón SanzEstudio de Ingeniería Industrial y Acústica desde 1986,Mérida,1
PLACONSA,Cáceres,2
PMIngesolution - JUAN PABLO LÓPEZ SALAZAR (PMIngesolution) (En trámite,Badajoz,11
Powertrack Internacional Automoción S.L. (Powertrack ) (En trámite,Badajoz,1
PROCLIMA S.L. (PROCLIMA)CLIMATIZACIÓN Y GAS,Badajoz,3
PRODYMEC INGENIERÍA DE FABRICACIÓN S.L. (PRODYMEC)Diseño y Fabricación de utillajes y componentes mecanizados para los sectores Aeronáutico,Zafra,1
PROIGAM INSTALACIONES S.L.ELABORACION DE PRESUPUESTOS DE INSTALACIONES TERMICAS,Segura de León,4
Proyectos e Instalaciones Gregorio Ortiz,Badajoz,20
Ramón Criado y Cia.Instalaciones de Frío/Calor Industrial,Cáceres,2
Recio Pajares Montajes de Depuración,Malpartida de Plasencia,1
RECTIFICADOS EXTREMEÑOS (REXSAL) (En trámite,Mérida,1
REPSOL S.A. (REPSOL S.A.),Madrid,1
RESILUX IBÉRICA PACKAGING,Higuera La Real,8
SCHINDLER,Badajoz,4
SEÑORÍO DE MONTANERA,Badajoz,3
SOCIEDAD PÚBLICA DE RADIODIFUSIÓN Y TELEVISIÓN EXTREMEÑA,Mérida,1
SOLTEIN,Badajoz,32
SOLUCIONES METÁLICAS EXTREMEÑAS,Monesterio,1
TECHNOWAGEN C.B.Reparación de automóviles de alta gama,Badajoz,2
Tecnicauria S.L. (Tecnicauria) (En trámite,Coria,1
TECNOCE S.L.Desarrollar sistemas de energía solar térmica y fotovoltaica,Gelves,4
TEKNICAM TECH ESPAÑA,Badajoz,10
TELESFORO MASA MASA (TELESFORO MASA)Proyectos agroindustriales en la cona de Vegas Altas del Guadiana. Proyectos de regadíos. Proyectos de industrias agroalimentarias.,Miajadas,2
TOMALIA SCUG (TOMALIA)Producción y comercialización de concentrado y cubitos de tomate,Santa Amalia,2
TOMATES DEL GUADIANA S. COOPMANTENIMIENTO PREVENTIVO DE LAS LÍNEAS DE PRODUCCIÓN,Santa Amalia,2
U.T.E. MANTENIMIENTO OLIVENZAOPERACIÓN Y MANTENIMIENTO DE UNA PLANTA TERMOSOLAR,Mérida,5
VALSOLAR 2006,Badajoz,109
VEGENAT,Pueblonuevo del Guadiana,4
VICENTE ACEDO,Miajadas,1
