Empresa,Localidad,Num
ECOGESTION DEL GUADIANA S.L.U.Diseño de dispositivos electrónicos para la medida de la eficiencia energética en viviendas e instalaciones industriales,Badajoz,1
EFICAE SOLUCIONES C.B. (EFICAE)Se realizan los siguientes servicios:Optimización y estudio de suministro eléctricoElaboración de informesAuditorías EnergéticasProyectos,Badajoz,30
Proyectos,Badajoz,30
Electricidad La Serena,Villanueva de la Serena,4
Electrofil-Oeste Distribución,Badajoz,3
ENODE TELECOM S.L. (ENODE TELECOM)OPERADOR DE RED DE TELECOMUNICACIONES,Madrid,1
FLORES CORTÉS DON BENITO S.L. (FLORES CORTES DON BENITO)Fabricación de herramientas de mano,Don Benito,3
Fundación Centro Tecnológico Industrial de Extremadura (CETIEX)Innovación y proyectos de ingeniería,Badajoz,17
Gameroil,Mérida,2
GAMMA SOLUTIONS S.L. (GAMMA SOLUTIONS)Empresa de Ingeniería basada en proyectos de ingeniería renovables,Cáceres,3
GREENPRINTS LABS S.L.U. (GREENPRINTS )Fabricación industrial de filamentos poliméricos para impresión 3D mediante FFF. Desarrollo de nuevos materiales para fabricación 3D aditiva.,Badajoz,2
Grupo Alfonso Gallardo,Jerez de los Caballeros,15
GRUPO CRISTIAN LAY,,9
Grupo INNOZAVI S.L.,Zafra,1
Herma Productos de Limpieza (HERMA) (En trámite,Santiago del Campo,1
HOTEL LEO S.L. (HOTEL LEO)Empresa dedicada a la hostelería y al hospedaje.,Monesterio,1
I+D Extremadura,Mérida,7
IBERMÁTICA S.A. (IBERMÁTICA)Ibermática es una de las principales compañías de servicios en Tecnologís de la Información del mercado español. Creada en 1973,San Sebastián,2
Ideario Marketing CB (Ideario) (En trámite,Badajoz,1
INDRA SISTEMAS,Rivas Vaciamadrid,2
Industrias y Promociones Alimenticias,Miajadas,6
INQUIBA S.A.,,6
Instituto Tecnológico Agroalimentario,,2
Inversolar Extremadura,Badajoz,14
J.G. Borrego Gabinete Pericial,Badajoz,10
MAGTEL OPERACIONES SLUMAGTEL realiza trabajos de diseño tecnológico,Córdoba,4
MAYCOEX S.L. (MAYCOEX)Redacción de proyectos y construcción de obras principalmente de índole medioambiental,Badajoz,1
MONLIZ ESPAÑA S.L.Producción de vegetales escaldados,Villafranco del Guadiana,7
NIETO BERNÁLDEZ INGENIEROS,Badajoz,2
ONDUPACK,Segura de León,11
PMIngesolution - JUAN PABLO LÓPEZ SALAZAR (PMIngesolution) (En trámite,Badajoz,11
PROIGAM INSTALACIONES S.L.ELABORACION DE PRESUPUESTOS DE INSTALACIONES TERMICAS,Segura de León,4
PROMEDIO,Badajoz,2
PROMUSICA,,1
Proyectos e Instalaciones Gregorio Ortiz,Badajoz,20
Renovables SAMCA,Zaragoza,6
Ricardo Cabo Álava - Estudio de Ingniería (Ricardo Cabo Álava - Estudio d) (En trámite,Villafranca de los Barros,1
Seguridad Integral SECOEX,Badajoz,7
Senergy Product and Services S.L. (Senergy Product and Services)Mantenimiento de convertidores electrónicos de plantas fotovoltaicasFabricación de componentes eléctricos y electrónicosAnálisis energético de instalaciones eléctricasDiseño de sistemas electrónicos de potencia,Badajoz,4
SEÑORÍO DE MONTANERA,Badajoz,3
Sistemas de Automatismo y Control,Badajoz,26
Sociedad Cooperativa Limitada Nuestra Señora del Prado,Casar de Cáceres,1
Sociedad Ibérica de Construcciones Eléctricas - SICE (SICE) (En trámite,Hernán Cortes,1
SOLTEIN,Badajoz,32
TEKNICAM TECH ESPAÑA,Badajoz,10
TOMALIA SCUG (TOMALIA)Producción y comercialización de concentrado y cubitos de tomate,Santa Amalia,2
TOMATES DEL GUADIANA S. COOPMANTENIMIENTO PREVENTIVO DE LAS LÍNEAS DE PRODUCCIÓN,Santa Amalia,2
Transformaciones Inoxidables de Badajoz,Villafranca de los Barros,3
U.T.E. MANTENIMIENTO OLIVENZAOPERACIÓN Y MANTENIMIENTO DE UNA PLANTA TERMOSOLAR,Mérida,5
VALDEMAR INGENIEROS,Sevilla,2
VALSOLAR 2006,Badajoz,109
VIRAL STUDIOS C.B. (Viral Studios)Viral Studios es una empresa de innovación especializada en el desarrollo de software utilizando la tecnología de Realidad Virtual,Badajoz,5
VODAFONE ESPAÑA SAU (VODAFONE)Servicios de telecomunicaciones,Madrid,1
